question,user,category,detail1,detail2,detail3,detail4
"복지할인(홈서비스) 자격 미확인자로 확인(전산 조회 시 대상자 아님)되는데, 자격 확인을 다시 하려고 하면 어디로 문의해 확인할 수 있나요?",개인,혜택,기타 할인 혜택,,,
"휴대폰을 추가로 개통했을 경우, 휴대폰 소액결제 이용한도는 어떻게 되나요?",개인,모바일,부가서비스,생활편의,휴대폰소액결제,
무드등의 위치를 옮겨도 되나요?,개인,U+스마트홈,스마트홈 기기,무드등,,
SIM로밍을 사용하고 싶습니다. 어떻게 해야 하나요?,개인,해외로밍,SIM로밍,,,
웹 발신 문자는 어떤 식으로 구분 되나요?,개인,모바일,부가서비스,통화/메시지,웹 발신 문자 알림,
스마트홈 스피커를 초기화할 수 있나요?,개인,U+스마트홈 스피커,U+스마트홈 우리집AI,스피커 이용방법,,
"18개월 이전에 기변 시에도, LIG 잔존물 회수 보험의 보상 혜택을 제공받을 수 있나요?",개인,혜택,신청/변경불가,0(제로)클럽 시즌2,,
하루에 전송 가능한 메시지 건수 제한이 있나요?,개인,모바일,부가서비스,통화/메시지,문자메시지,
통화중에 전화가 끊어집니다.,개인,전화,인터넷전화,장애/고장,,
할부수수료는 일반할부와 다른가요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_폰케어플러스옵션2,,
U+와이파이 상품의 약정은 인터넷 약정을 따르는 것인가요?,개인,인터넷,장비안내,와이파이,,
"자녀요금조회하려고 고객센터App에 들어갔더니, 법정대리인으로 등록된 미성년자 번호가 없다고 나와요.",개인,요금 및 납부,요금조회,,,
1인 지정 방식으로 할인받고 있는데 지정된 1인을 다른 가족으로 변경할 수 있나요?,개인,결합 할인,유무선 결합,가족무한사랑(유무선),,
전화기가 작동하지 않습니다.,개인,전화,인터넷전화,장애/고장,,
와이파이 공유기 교체 후 와이파이 연결을 어떻게 해야 하나요?,개인,U+스마트홈 스피커,U+스마트홈 우리집AI,스피커 연결방법,,
U+ 패밀리샵은 무엇인가요?,개인,혜택,멤버십 혜택,U+패밀리샵,,
인터넷은 사용이 되는데 전화(전화모뎀CPG)는 사용이 안됩니다.,개인,전화,인터넷전화,장애/고장,,
해지후 단말을 분실하여 요금이 청구되었는데요. 다시 찾았습니다. 택배수거가 가능한가요?,개인,가입 및 변경,인터넷,,,
와이파이에 연결해서 이용할 수 있나요?,개인,인터넷,부가서비스,GeForce NOW,,
월정액 해지는 어떻게 하나요?,개인,모바일,부가서비스,영상,U+ 영화월정액,
U+고객센터 앱의 유사한 기능과 무엇이 달라졌나요?,개인,모바일,부가서비스,데이터,U+데이터충전소,
인터넷을 어떻게 연결하나요?,개인,U+스마트홈,스마트홈 기기,허브 모아 510,,
휴대폰 명의 또는 번호 변경 후 다시 사용할 수 있나요?,개인,모바일,부가서비스,안심/안전,PASS,
스마트홈 스피커는 와이파이로 연결해야만 사용할 수 있나요?,개인,U+스마트홈 스피커,U+스마트홈 우리집AI,스피커 연결방법,,
결합하려는 인터넷이 3년 약정이 아니어도 할인을 받을 수 있나요?,개인,결합 할인,유무선 결합,참 쉬운 가족 결합,,
"자동이체 시, 2개 이상의 휴대폰 번호를 등록했을 경우에 모두 5 % 적립이 가능한가요?",개인,혜택,신청/변경불가,제휴카드,,
홈페이지에서 로밍 통화상세내역 조회를 할 수 있나요?,개인,해외로밍,서비스안내,,,
U+인터넷전화 가입자간 통화는 무료 인가요?,개인,전화,인터넷전화,요금안내,,
모든 공동인증서를 휴대폰으로 저장할 수 있나요?,개인,모바일,부가서비스,안심/안전,스마트공동인증(드림시큐리티),
"미성년자, 개인사업자도 가입 조건 충족 시 가입 가능한가요?",개인,혜택,요금할인,장기할인,,
전화기를 오래 쓰고 싶은데 어떻게 관리하는 것이 좋을까요?,개인,전화,인터넷전화,장애/고장,,
Mnet APP 업데이트 해야 하나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,Mnet 앱,
기존 집전화 이용 시 전화단말기의 기능이나 부가서비스등이 정상 적용되나요?,개인,전화,인터넷전화,번호이동,,
제가 휴대폰 분실/파손 보험(구.휴대폰 분실/파손 보상)에 가입이 되어있는지 확인할 수 있나요?,개인,모바일,부가서비스,안심/안전,휴대폰 분실/파손 보험,
앱은 어디서 다운받나요?,개인,모바일,부가서비스,통화/메시지,자녀폰지킴이,
"전화를 걸면, 음성사서함으로 전환되어 전화를 받을 수 없어요. 어떻게 해야하나요?",개인,모바일,부가서비스,통화/메시지,음성사서함,
‘동부 990’은 어떤 건가요?,개인,혜택,제휴 우대 혜택,LG U+ 동부증권 3&3,,
LG U+ 서비스를 사용하고 있는데 제휴카드를 발급받아 요금할인을 받고 싶으면 어떻게 하나요?,개인,혜택,신청/변경불가,제휴카드,LG U+ 현대카드 MY BUSINESS,
데이터가 기본제공되는 요금제는 mVoIP 서비스도 기본제공되나요?,개인,모바일,요금제,,,
법인폰 본인확인 서비스 관리 페이지를 이용하려면 어떤 것을 준비해야 하나요?,개인,모바일,부가서비스,안심/안전,휴대폰 본인확인,
6인 지정할인 요금제에 대해 알려주세요.,개인,모바일,요금제,기타,,
기기를 받으면 바로 사용할 수 있나요?,개인,U+Shop,모바일,개통/배송,,
보호자용과 자녀용은 최대 몇 회선까지 가능한가요?,개인,모바일,부가서비스,안심/안전,아이지킴이,
인증서 발급은 어떻게 받나요?,개인,모바일,부가서비스,안심/안전,PASS 인증서,
U+ 멤버십 포인트로 VOD 구매가 가능한가요?,개인,TV,요금안내,,,
액션캠 LTE 요금제가 별도로 있나요?,개인,모바일,단말기(휴대폰),,,
18개월 차에 iPhone 6 반납은 필수 인가요?,개인,혜택,신청/변경불가,O클럽,,
LTE 요금제로 가입한 휴대폰만 결합할 수 있나요?,개인,결합 할인,유무선 결합,참 쉬운 가족 결합,,
비밀번호를 분실할 경우는 어떻게 해야 하나요?,개인,모바일,부가서비스,안심/안전,휴대폰 본인확인,
U+ 모바일 일시정지 상태에서 U+ 데이터상품권을 이용할 수 있나요?,개인,모바일,부가서비스,데이터,U+ 데이터상품권,기본정보
할인쿠폰은 어떻게 사용하나요?,개인,TV,요금안내,,,
U+인터넷전화 서비스의 품질은 사용중인 인터넷 서비스와 상관이 있나요?,개인,전화,인터넷전화,상품안내,,
통화중 대기 서비스는 무엇인가요?,개인,모바일,부가서비스,통화/메시지,통화중대기,
적립한 클럽포인트를 본인 또는 타인이 사용하려면 별도의 신청 절차가 필요한가요?,개인,혜택,신청/변경불가,(구) 가족 무한사랑 클럽,,
영상 월정액 상품에서 제공하는 무료 통화 초과시 과금은 어떻게 되나요?,개인,모바일,부가서비스,통화/메시지,영상전화,
어디에 설치할 수 있나요?,개인,U+스마트홈,스마트홈 기기,도어센서,,
통화 중 울림현상이 나타납니다.,개인,서비스안내,통화품질,,,
LG U+ USIM을 타 통신사 단말에서 이용시 ‘콜메세지’ 서비스 이용이 가능한가요?,개인,모바일,부가서비스,통화/메시지,콜메시지,
CDMA자동로밍 요금은 어떻게 청구됩니까?,개인,해외로밍,서비스안내,,,
5G가입고객이 단말을 분실/파손하는 경우에는 임대폰을 어떻게 이용하나요?,개인,모바일,단말기(휴대폰),휴대폰분실파손,,
U+스마트홈 패키지 요금제에 가입하지 않아도 앱을 이용할 수 있나요?,개인,U+스마트홈,U+스마트홈 서비스,U+스마트홈 앱,,
메시지를 보냈는데 너무 늦게 도착하거나 못 받았다고 합니다. 어떻게 된 건가요?,개인,모바일,부가서비스,통화/메시지,문자메시지,
컨텐츠에 따라서 선물보내기가 안 되는 컨텐츠도 있나요?,개인,모바일,부가서비스,뮤직,벨소리,
허브가 무엇인가요?,개인,U+스마트홈,스마트홈 기기,AI리모컨허브,,
컴퓨터주치의 원격점검을 받으려면 어떻게 해야하나요?,개인,인터넷,부가서비스,컴퓨터주치의,,
홈페이지에서 가입 신청한 후 추가로 거쳐야할 절차가 있나요?,개인,가입 및 변경,인터넷,,,
부모 회원은 앱을 어떻게 사용하나요?,개인,모바일,부가서비스,통화/메시지,자녀폰지킴이,
보안 메일 청구서가 무엇인가요?,개인,요금 및 납부,요금조회,,,
"제 명의(A)로 U+ 보관함 이용 중, 다른 명의(B)로 명의변경하면 U+ 보관함을 계속 이용할 수 있나요?",개인,모바일,부가서비스,생활편의,U+ 보관함,
해외에서 구매한 휴대폰으로는 중고폰 가격보장 프로그램_폰케어플러스 옵션Ⅱ를 가입할 수 없나요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_폰케어플러스 옵션II,,
"선택 약정 할인(통신료 20 % 할인)을 받고 있는데, 할인반환금 없이 새로운 선택 약정 할인(통신료 25 % 할인)으로 변경할 수 있나요?",개인,U+Shop,모바일,요금할인/혜택,,
7 % 추가 요금할인은 U+ Shop을 통해 구입한 경우에만 적용되나요?,개인,U+Shop,,,,
누구나 가입할 수 있는 건가요?,개인,인터넷,부가서비스,추가단말접속서비스,,
18개월 차 이후 중고폰 시세가 보장가격과 같거나 높으면 R클럽2의 보상을 받을 수 없나요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_R클럽2,,
타통신사의 전화요금이 체납인 경우에도 U+인터넷전화 번호이동이 가능한가요?,개인,전화,인터넷전화,번호이동,,
가족무한사랑(유무선결합)을 가입하고 U+인터넷 약정 3년이 끝나면 할인이 중단되나요?,개인,결합 할인,유무선 결합,가족무한사랑(유무선),,
"이용한도를 설정한 경우, 설정한 한도로 계속 유지되나요?",개인,모바일,부가서비스,생활편의,휴대폰소액결제,
쿠폰은 언제 발급되는건가요?,개인,혜택,장기고객 혜택,,,
외국인도 멤버십 카드를 발급받을 수 있나요?,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
블랙박스를 설치하면 차량 배터리가 더 빨리 방전되지 않나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,U+ LTE블랙박스,
LG U+ 홈페이지의 변경된 메뉴를 못 찾겠어요.,개인,서비스안내,홈페이지이용관련,,,
전화로도 이용 가능한 서비스인데 조금 불편합니다. 일반 무선전화기를 추가할 수 있나요?,개인,전화,U+홈보이,,,
100 % LTE 데이터팩의 하루 2GB를 모두 소진하면 어떻게 되나요?,개인,모바일,부가서비스,데이터,데이터 안심옵션,
파워 9원 요금제에 대해 알려주세요.,개인,모바일,요금제,,,
"다자간통화(그룹통화) 할 때, 타통신사 무선번호나 일반 유선전화로도 되나요?",개인,모바일,부가서비스,통화/메시지,다자간통화(그룹통화),
안심옵션데이터에서도 끊김없이 이용되나요?,개인,모바일,부가서비스,생활편의,원내비,
알뜰폰 사용자도 이용이 가능한가요?,개인,모바일,부가서비스,안심/안전,PASS,
셋톱박스 한 대에만 연결할 수 있나요?,개인,TV,상품안내,주요서비스,가족방송,
요금제 변경 후 데이터2배쿠폰을 사용하면 어떻게 되나요?,개인,혜택,장기고객 혜택,,,
인터넷전화에서 전화는 어떻게 걸어야 하나요?,개인,전화,인터넷전화,상품안내,,
LG U+만 추가단말 과금을 하나요?,개인,인터넷,부가서비스,추가단말접속서비스,,
어떤 서비스인가요?,개인,5G,5G 부가서비스,U+VR,,
링 요금제도 자동 상한 옵션 설정 변경이 가능한가요?,개인,모바일,요금제,청소년요금제,,
U+인터넷전화 번호이동 신청하면 고객에게 확인 전화가 오나요?,개인,전화,인터넷전화,번호이동,,
설치비가 추가되나요?,개인,U+스마트홈,U+스마트홈 서비스,U+스마트홈 요금제,,
기존 폰케어플러스(분실/파손 보험)와 중복 가입이 가능한가요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_H+클럽,,
번호이동 후 재번호이동이 6개월이후 가능한 이유가 궁금합니다.,개인,전화,인터넷전화,번호이동,,
서비스 해지는 어떻게 하나요?,개인,모바일,부가서비스,통화/메시지,웹 발신 문자 알림,
휴대폰 소액결제 월자동결제만 차단할 수 있나요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
별정요금제에 대해 알려주세요.,개인,모바일,요금제,기타,,
벨음모아는 어떤 서비스 인가요?,개인,모바일,부가서비스,뮤직,벨음모아,
게임을 제대로 즐기려면 인터넷 속도는 어느 정도가 되어야 하나요?,개인,인터넷,부가서비스,GeForce NOW,,
집전화(유선전화)로도 착신전환이 되나요?,개인,모바일,부가서비스,통화/메시지,착신전환,
데이터 사용차단 해제 부가서비스는 몇 회까지 신청/취소 가능한가요?,개인,모바일,요금제,,,
국제전화의 요금 청구기준이 따로 있나요?,개인,전화,국제전화 002,,,
가족들이 각자의 U+ID로 로그인해서 U+스마트홈 앱을 함께 이용할 수 있나요?,개인,U+스마트홈,U+스마트홈 서비스,U+스마트홈 앱,,
AI리모컨허브에 등록한 가전제품을 음성으로 켜고 끄려면 어떻게 하나요?,개인,U+스마트홈,스마트홈 기기,AI리모컨허브,,
스팸메일 신고 방법을 알려주세요.,개인,서비스안내,홈페이지이용관련,,,
우리 아파트에서 기가급 인터넷을 이용할 수 있는지 어떻게 확인할 수 있나요?,개인,서비스안내,통화품질,,,
U+ LG생활건강샵은 이전의 LG생활건강 특가몰인가요?,개인,혜택,멤버십 혜택,U+패밀리샵,,
수신자부담전화(콜렉트콜)를 모두 차단하고 싶어요.,개인,서비스안내,,,,
제로클럽2 A형과 중복 가입이 가능한가요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_폰케어플러스옵션,,
"인터넷전화의 전원을 껐다 켰는데요, 화면에 다운로드창이 뜨고 재부팅이 되는데 고장인가요?",개인,전화,인터넷전화,장애/고장,,
기타 문의사항이 있습니다.,개인,모바일,부가서비스,생활편의,간편결제매니저,
단말기 사용설명서는 어디서 얻을 수 있나요?,개인,모바일,단말기(휴대폰),,,
해외 숙박 시 하루 데이터로밍을 무료로 받을 수 있나요?,개인,혜택,제휴 우대 혜택,Booking.com(호텔예약),,
영상통화도 발신번호표시제한으로 발신이 가능한가요?,개인,모바일,부가서비스,통화/메시지,발신자번호표시제한,
문자 메시지를 발송하면 상대방이 내 번호를 볼 수 있나요?,개인,모바일,부가서비스,통화/메시지,발신자번호표시제한,
데이터 안심옵션 플러스의 400MB는 해지 시 날짜 계산 청구되나요?,개인,모바일,부가서비스,데이터,데이터 안심옵션,
데이터 2배 무약정 프로그램의 가입조건과 주의해야 할 점이 무엇인가요?,개인,U+Shop,,,,
A/S(리퍼)를 받아 단말기 일련번호가 변경된 경우에도 중고폰 반납이 가능한가요?,개인,혜택,신청/변경불가,O클럽,,
'잘 때' 모드의 조명등 색상을 바꿀 수 있나요?,개인,U+스마트홈,스마트홈 기기,무드등,,
U+ 데이터상품권에는 어떤 혜택이 있나요?,개인,모바일,부가서비스,데이터,U+ 데이터상품권,기본정보
PASS 인증 이력을 확인할 수 있나요?,개인,모바일,부가서비스,안심/안전,PASS,
5G 프리미엄 가족 할인이란 무엇인가요?,개인,결합 할인,유무선 결합,참 쉬운 가족 결합,,
월 이용요금이 얼마인가요?,개인,TV,부가서비스,캐치온,,
MyOTP App은 어디서 설치하나요?,개인,모바일,부가서비스,안심/안전,MyOTP,
음성인식 기능은 어떻게 이용하나요?,개인,U+스마트홈,U+스마트홈 서비스,U+스마트홈 앱,,
PASS 앱을 초기화하면 어떻게 되나요?,개인,모바일,부가서비스,생활편의,PASS스탁,
아이폰에서 널지켜줄께 서비스 이용이 가능한가요?,개인,모바일,단말기(휴대폰),아이폰,,
LG U+ 휴대폰을 구매하지 않아도 특별적립(주유/쇼핑/외식/커피/학원) 적용 되나요?,개인,혜택,신청/변경불가,제휴카드,,
뮤직벨링 서비스를 아이폰(iPhone)에서 사용할 수 있나요?,개인,모바일,부가서비스,뮤직,뮤직벨링 앱,
간편 인증 방법을 알려주세요 - PC버전,개인,TV,부가서비스,캐치온,,
전화가 올 때 상대방의 번호가 표시되는 서비스가 있다고 하는데 어떻게 가입을 하나요?,개인,모바일,부가서비스,통화/메시지,발신번호표시,
LG U+ SAVE 신한카드의 스마트 할부 서비스는 신규 가입고객만 가능한가요?,개인,혜택,신청/변경불가,제휴카드,LG U+ SAVE 신한카드,
PASS 서비스는 어떤 서비스 인가요?,개인,모바일,부가서비스,안심/안전,PASS,
이어폰으로 혼자듣기 하는데 볼륨조절은 어떻게 해야하나요?,개인,TV,상품안내,U+ tv UHD,,
명의도용 차단을 하는데 본인 확인은 왜 해야 하나요?,개인,모바일,부가서비스,안심/안전,금융사고안심팩,
TV포인트가 무엇인가요?,개인,TV,상품안내,U+ tv,,
서비스 해지 당일에 재가입이 가능한가요?,개인,모바일,부가서비스,통화/메시지,번호도용 문자차단,
"전 월 30만원을 사용하지 못했을 경우, 자동이체 등록하지 않은 경우 어떠한 혜택도 없나요?",개인,혜택,신청/변경불가,제휴카드,LG U+ Light Plan 신한카드,
아이폰 이용자입니다. 엠넷에서 다운로드 받은 곡을 재생하고 싶은데 어디에서 확인하나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,MP3 다운로드,
데이터 스페셜 A 요금제 가입자도 3시간 / 24시간 데이터 Free 가입 가능한가요?,개인,모바일,부가서비스,데이터,데이터 안심옵션,
"제휴카드 할인, 약정할인, 자동이체 할인 등 기타 할인과도 중복으로 요금할인이 적용되나요?",개인,혜택,멤버십 혜택,U+패밀리샵,,
문자 메시지 보내기 이용 시 보낼 수 있는 화면이 다 안보입니다. 어떻게 해야 하나요?,개인,서비스안내,홈페이지이용관련,,,
서비스 가입만 하면 바로 이용할 수 있나요?,개인,모바일,부가서비스,안심/안전,휴대폰 본인확인,
제 명의로 여러 휴대폰 번호를 가지고 있습니다. 어느 휴대폰 요금을 할인 받나요?,개인,혜택,멤버십 혜택,U+패밀리샵,,
허브를 연결할 수 있는 와이파이 공유기가 따로 있나요?,개인,U+스마트홈,스마트홈 기기,허브 동글형,,
회의통화 시 요금은 어떻게 부과가 되나요?,개인,모바일,부가서비스,통화/메시지,다자간통화(그룹통화),
U+가족무한사랑은 미성년자도 가입 가능한가요?,개인,결합 할인,무선 결합,U+가족무한사랑,,
1개월 이용 후 서비스 연장 신청이 가능한가요?,개인,모바일,부가서비스,통화/메시지,발신자번호강제표시,
택배로 단말을 받았는데 설치가 너무 어려워요.,개인,가입 및 변경,인터넷전화,,,
인증서가 휴대폰에 저장이 되지 않습니다. 이유가 무엇인가요?,개인,모바일,부가서비스,안심/안전,유비키인증서,
결합 할인 혜택은 없나요?,개인,전화,U+홈보이,,,
오프라인 매장에서 U+멤버스로 어떻게 결제하나요?,개인,모바일,부가서비스,생활편의,U+멤버스,
전자서명 도중 스마트인증 비밀번호가 무엇인가요?,개인,모바일,부가서비스,안심/안전,USIM 스마트인증(라온시큐어),
가입 후 18개월이 지나 쓰던 휴대폰을 반납하면 보상받는 금액은 얼마인가요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_폰케어플러스옵션2,,
아이의 실제 위치와 조회된 위치가 너무 차이가 납니다!,개인,모바일,부가서비스,안심/안전,아이지킴이,
컴퓨터주치의는 어떤 서비스인가요?,개인,인터넷,부가서비스,컴퓨터주치의,,
100 % LTE 데이터팩은 어떤 서비스 인가요?,개인,모바일,부가서비스,데이터,데이터 안심옵션,
U+스마트홈 앱은 어디에서 설치할 수 있나요?,개인,U+스마트홈,스마트홈 기기,도어센서,,
인터넷전화 단말기에서 전화번호 안내서비스는 어떻게 연결하나요?,개인,전화,인터넷전화,장애/고장,,
U+파손도움 서비스 이용 시에 보험청구 대행 가능한가요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_H+클럽,,
번호변경을 한 경우에는 어떻게 되나요?,개인,모바일,부가서비스,안심/안전,전화번호안심로그인,
오프라인(고객센터) 해지는 어떻게 하나요?,개인,모바일,부가서비스,안심/안전,로그인플러스,
중고폰 가격보장 프로그램_H+클럽은 언제든지 가입할 수 있나요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_H+클럽,,
명의도용 사유로 일시정지를 했다가 해제하려면 어떻게 하나요?,개인,서비스안내,,,,
U+ 멤버십 포인트로 VOD 구매는 어떻게 하나요?,개인,TV,요금안내,,,
기기변경을 한 경우에는 어떻게 되나요?,개인,모바일,부가서비스,생활편의,간편결제매니저,
AI리모컨과 TV를 연결하고 싶어요.,개인,U+스마트홈,스마트홈 기기,AI리모컨,,
"PIN번호를 잊어버릴 경우, PIN번호 찾기는 어떻게 하나요?",개인,모바일,부가서비스,안심/안전,전화번호안심로그인,
콜메시지 설정을 했는데 착신휴대폰에서 표시가 안됩니다.,개인,모바일,부가서비스,통화/메시지,콜메시지,
"스마트홈 스피커를 통해 음성으로 가전제품을 실행하고 싶은데, 작동하지 않아요. 어떻게 해야 하나요?",개인,U+스마트홈,스마트홈 기기,AI리모컨허브,,
명의변경을 한 경우에는 어떻게 되나요?,개인,모바일,부가서비스,안심/안전,전화번호안심로그인,
1구간만 제휴카드 완납 가능한가요?,개인,혜택,신청/변경불가,중고폰 가격보장 프로그램_폰케어플러스옵션,,
스피커 음량은 어떻게 조절하나요?,개인,U+스마트홈,스마트홈 기기,무드등,,
PASS 앱 간편본인확인 요청 후 알림 PUSH가 오지 않아요.,개인,모바일,부가서비스,안심/안전,PASS,
가입안내문자를 여러 번 수신하였습니다.,개인,모바일,부가서비스,안심/안전,휴대폰번호 보호서비스,
수면센서와 함께 사용하고 있습니다. 수면센서와 어떻게 연결하면 되나요?,개인,U+스마트홈,스마트홈 기기,무드등,,
U+ 데이터상품권을 타인에게 선물/양도할 수 있나요?,개인,모바일,부가서비스,데이터,U+ 데이터상품권,기본정보
인터넷은 3년 약정만 가입 가능한가요?,개인,결합 할인,유무선 결합,한방에Home2,,
WCDMA/GSM자동로밍을 해외에서 이용하려면 별도 설정해야 하나요?,개인,해외로밍,WCDMA/GSM,,,
해외여행 후 부가서비스 해지도 직접 가능한가요?,개인,해외로밍,서비스안내,,,
무드등이 자동으로 켜지게 설정하고 싶어요.,개인,U+스마트홈,스마트홈 기기,무드등,,
"링을 모두 소진했는데, 추가로 이용할 수 있나요?",개인,모바일,요금제,,,
자동이체 납부가 필수인가요?,개인,혜택,제휴카드로 할인,휴대폰 구매 할인,NH올원 LG U+ 카드,
U+ tv 단독 서비스를 신청하려면 어떻게 해야 하나요?,개인,TV,상품안내,U+ tv,,
영상통화로 걸려온 전화도 번호강제표시 기능이 지원되나요?,개인,모바일,부가서비스,통화/메시지,발신자번호강제표시,
VOD고급형 요금제를 이용하면서 추가셋톱을 이용할 경우 PPV 쿠폰을 추가셋톱에서도 이용할 수 있나요?,개인,TV,요금안내,,,
첫 단말기 할부금이 나오는 시점이 정확히 언제인가요?,개인,혜택,신청/변경불가,제휴카드,LG U+라서 즐거운 우리카드,
로밍전화에서 사용가능한가요?,개인,전화,국제전화 002,,,
"스팸차단 서비스 해지 후 재가입 할 경우, 기존 차단 내역이 유지되나요?",개인,모바일,부가서비스,통화/메시지,스팸차단,
온라인(웹사이트)해지는 어떻게 하나요?,개인,모바일,부가서비스,안심/안전,로그인플러스,
서비스 가입은 어떻게 하나요?,개인,모바일,부가서비스,안심/안전,로그인플러스,
어떤 자료로 구체적인 사실 증빙을 할 수 있나요?,개인,모바일,부가서비스,통화/메시지,발신자번호강제표시,
스마트폰 다운로드+음악감상 상품을 해지하고 싶습니다.,개인,모바일,부가서비스,신규/변경불가 부가서비스,무제한음악감상+스마트폰다운로드,
다른 결합할인 혜택과 동시에 이용할 수 있나요?,개인,결합 할인,유무선 결합,참 쉬운 케이블 가족 결합,,
"음성 스팸을 차단해 놓았는데, 국제전화도 차단이 되나요?",개인,해외로밍,서비스안내,,,
인터넷전화결제 비밀번호 서비스는 무엇인가요?,개인,전화,인터넷전화,부가서비스,인터넷전화결제,
교육청감면 할인율(홈서비스)에 대해 알고 싶습니다.,개인,혜택,기타 할인 혜택,,,
YES 서비스 가입 방법이 어떻게 되나요?,개인,가입 및 변경,모바일,,,
"국내 숙박이 아닌, 해외 숙박을 이용하면 요금할인 혜택을 받을 수 없나요?",개인,혜택,제휴 우대 혜택,Booking.com(호텔예약),,
PC에서 로그인할 때마다 본인인증을 해야하나요?,개인,모바일,부가서비스,생활편의,U+ 보관함,
와이파이는 왜 지점 정보만을 제공하나요?,개인,서비스안내,통화품질,,,
서비스 가입은 어떻게 하나요?,개인,모바일,부가서비스,생활편의,간편결제매니저,
"제휴카드로 월 적립한 포인트가 휴대폰 할부금 보다 많을 경우, 카드 적립포인트는 어떻게 되나요?",개인,혜택,신청/변경불가,제휴카드,,
웹 발신 문자 알림 서비스는 어떤 서비스 인가요?,개인,모바일,부가서비스,통화/메시지,웹 발신 문자 알림,
가족 대표자가 LG유플러스를 해지했습니다. 신규 구성원 추가가 가능한가요?,개인,결합 할인,유무선 결합,참 쉬운 가족 결합,,
벨소리/통화연결음 합산 2건(월) 무료 포함된 상품 쓰고 있는데 과금 되었다고 문자가 왔어요.,개인,모바일,부가서비스,뮤직,벨소리,
가상번호로 부가서비스를 신청 할 수 있나요?,개인,모바일,부가서비스,통화/메시지,듀얼넘버,
월자동결제 이용 시 월자동결제 금액 이하로 이용한도 설정할 경우 결제가 안 이루어지나요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
할인쿠폰을 받았는데 어디서 확인하나요?,개인,TV,요금안내,,,
전월 카드 사용 금액 기준은 무엇인가요?,개인,혜택,신청/변경불가,제휴카드,LG U+라서 즐거운 우리카드,
사용내역을 조회하고 싶은데 어떻게 해야 하나요?,개인,전화,선불카드,,,
스마트폰 사용자가 아니면 이용할 수 없나요?,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
사용한 로밍요금을 고객센터 앱에서 확인할 수 있나요?,개인,해외로밍,서비스안내,,,
가장 저렴한 청소년 요금제는 무엇인가요?,개인,모바일,요금제,,,
미성년자도 휴대폰 소액결제 이용이 가능한가요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
선불 요금제를 이용해도 멤버십 카드를 발급받을 수 있나요?,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
아이폰 A/S 센터는 어디에 있나요?,개인,모바일,단말기(휴대폰),아이폰,,
세컨드 TV에서 VOD를 구매하게 되면 어떻게 되나요?,개인,TV,상품안내,주요서비스,세컨드TV,
커버리지 맵이 무엇인가요?,개인,서비스안내,통화품질,,,
위치가 다르게 나옵니다.,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
기존 U+tv 고객들도 이용할 수 있나요?,개인,TV,상품안내,주요서비스,아이들나라,
아이폰은 일반 단말과 영상통화를 할 수 없는데 영상통화 무료 요금제가 포함된 서비스에 대해 별도의 혜택이 없나요?,개인,모바일,단말기(휴대폰),아이폰,,
휴대폰을 일시정지 했습니다. 그래도 이용을 할 수 있나요?,개인,모바일,부가서비스,생활편의,PASS신용관리,
(사운드바) 고화질로 유튜브 시청은 어떻게 하나요?,개인,TV,상품안내,U+ tv Soundbar,,
"제가 가입한적이 없는 것 같은데, 어떻게 가입이 되었죠?",개인,모바일,부가서비스,안심/안전,휴대폰번호 보호서비스,
"이용 중에 갑자기 로그아웃되었어요. 다시 로그인을 시도하는데, 실패 메시지만 나타나요.",개인,모바일,부가서비스,영상,U+모바일tv,
U+스마트홈 허브가 무엇인가요?,개인,U+스마트홈,스마트홈 기기,허브 모아 510,,
외국인도 LG U+ 통합회원으로 가입할 수 있나요?,개인,서비스안내,홈페이지이용관련,,,
널 지켜줄게를 더이상 이용하지 않으려면 어떻게 해야 되나요?,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
로그인플러스 인증(연산암호인증)은 어떻게 하나요?,개인,모바일,부가서비스,안심/안전,로그인플러스,
휴대폰이 가족 명의의 폰 인데 가입이 가능한가요?,개인,모바일,부가서비스,안심/안전,휴대폰번호 보호서비스,
CDMA자동로밍은 어떤 휴대폰으로 가능한가요?,개인,해외로밍,CDMA자동로밍,,,
LG U+ 스마트할인 KB국민카드는 통신비 할인 서비스는 신규 가입 고객만 가능한가요?,개인,혜택,신청/변경불가,제휴카드,스마트할인 KB국민카드,
