	2021년 3월 12일	별표 5개 만점에 1개를 받았습니다.	일시적인 오류(10)와이파이 끄라고해서 껏고 메일 보내라고 해서 보냈고 그럼 피드백 이 있어야하는거 아닌가요? 유관 부서로 메일 포워딩 하려고 보내라고 했습니까? 메일에도 말했듯이 이용료 내면서 이용하는 고객의 입장에서 내가 왜 이런 불편을 느껴야 하는지 이해가 전혀 가지 않네요 벌써 열흘도 훨씬 넘었네요 빠른 답변 바랍니다 ㅡ.ㅡ	0
8454	2019년 2월 15일	별표 5개 만점에 5개를 받았습니다.	실시간tv를 볼수있어좋아요.kmo03@네이버닷컴	1
10534	2020년 10월 7일	별표 5개 만점에 5개를 받았습니다.	아주 좋아요 감사합니다	1
1506	2019년 2월 15일	별표 5개 만점에 1개를 받았습니다.	정말 너무너무불편합니다. 드라마보는데 계속 끊기고 계속뜅기네요 데이터가문제인줄알고 핸드폰을 몇번을껏다 켰는데 데이터문제가아닌거같고 어플문제인거같네요......바뀌고나서 너무너무불편하네요	0
13388	2019년 4월 26일	별표 5개 만점에 1개를 받았습니다.	다시 재생이 잘 됨..전에도 그랬지만 간혹가다 보는중간이나 처음부터 영상이 계속 뚝뚝 끊기고 소리가 안나는 경우가 있네요.. 여기에 쓸말은 아니지만 u+프로야구도 그래요..	0
14950	2019년 1월 28일	별표 5개 만점에 5개를 받았습니다.	굿	1
16313	2018년 7월 21일	별표 5개 만점에 5개를 받았습니다.	좋아욤	1
4732	2019년 2월 23일	별표 5개 만점에 3개를 받았습니다.	다 좋았는데 공중파 서비스 중지 공지 아쉽네요...	1
8004	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	유용한 어플..굿입니다!	1
14869	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
3251	2019년 6월 15일	별표 5개 만점에 1개를 받았습니다.	어플 실행이 안되요.... 삭제했다가 재 설치햐도 실행이 안됩니다 오류 수정좀 해주세요	0
15363	2018년 11월 8일	별표 5개 만점에 5개를 받았습니다.	굿입니다	1
6580	2019년 3월 26일	별표 5개 만점에 1개를 받았습니다.	디자인컬러 말고 다운그레이드...	0
9913	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	업데이트할거면 제대로하던가	0
14834	2019년 2월 6일	별표 5개 만점에 5개를 받았습니다.	좋네요	1
3455	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	업뎃되고 접속이 안되네요... 일시오류 30이라 팝업창 뜨고는 계속 접속이 안되요..ㅠㅠ	0
739	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	업댓후 인터페이스가 너무 불편하네요. 이전 인터페이스는 처음부터 딱 마음에 들었는데 업댓후 찾기도 어려워졌고 어수선하고~~ 특히 영화 볼때 좌우 스크롤로 1~2분 정도의 과거 미래 영상 보는 기능 왜 없앤건지 ㅠㅠ 과거의 인터페이스와 화면구성 제발 돌려줘	0
4124	2019년 2월 14일	별표 5개 만점에 4개를 받았습니다.	사용자가 편하게 정리가 잘됬으면 하는데 아직은 뭔가 복잡하다는 생각이드네요	1
487	2021년 3월 8일	별표 5개 만점에 5개를 받았습니다.	내용이 좋네요	1
3781	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	다시 업뎃 하고도 계속 오류가 떠요 어떤걸 업뎃 한건지 모르겠네요 월정액3일 못쓴거 보상해주세요 돈은 돈대로 받고 이게 머하는 플레이지요?	0
1702	2020년 2월 20일	별표 5개 만점에 2개를 받았습니다.	소리가 불량입니다. 사용자가 쓸 수 있는 앱은 아닌듯합니다. 오늘도 그러네요. 불량에 소리가 100% 인듯합니다. 빨리 고쳐주세요. 이건 U+가 문제지만 개선해야 한다고 생각됩니다.	0
6399	2018년 10월 15일	별표 5개 만점에 4개를 받았습니다.	실실간방송보기좋네요	1
8592	2019년 11월 12일	별표 5개 만점에 3개를 받았습니다.	업데이트 여부는 선택하는걸로..ㅡㅡ	1
16307	2018년 7월 11일	별표 5개 만점에 3개를 받았습니다.	업데이트 너무 많아요	1
4190	2019년 2월 12일	별표 5개 만점에 5개를 받았습니다.	훨씬 보기 편한 메뉴구성이에요 눈이 아프지않은 블랙테마라 더욱 마음에 들구요	1
15134	2018년 9월 6일	별표 5개 만점에 3개를 받았습니다.	다좋은데업데이트가너무없어요	1
13969	2019년 2월 21일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
11221	2019년 2월 13일	별표 5개 만점에 5개를 받았습니다.	좋아요 ㅎㅎ	1
14306	2019년 4월 20일	별표 5개 만점에 4개를 받았습니다.	good	1
6957	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	3분 미리보기는 없어 졌네요	0
13013	2019년 7월 23일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
11542	2021년 1월 23일	별표 5개 만점에 1개를 받았습니다.	굿	0
3055	2019년 2월 12일	별표 5개 만점에 1개를 받았습니다.	전에는 아무문제 없이 이용했는데 갑자기 해당페이지는 이용할수없다고 뜨는데 왜 그런거죠?	0
10404	2021년 1월 24일	별표 5개 만점에 1개를 받았습니다.	렉심해요	0
16030	2018년 8월 2일	별표 5개 만점에 5개를 받았습니다.	의견이라고는 별로 없네요	1
11843	2020년 5월 19일	별표 5개 만점에 1개를 받았습니다.	모름	0
7723	2019년 6월 9일	별표 5개 만점에 3개를 받았습니다.	오류발생많음	1
10849	2018년 10월 17일	별표 5개 만점에 5개를 받았습니다.	아주 굿입니다	1
10067	2019년 12월 31일	별표 5개 만점에 5개를 받았습니다.	장르 다양하고 굿	1
414	2020년 11월 29일	별표 5개 만점에 1개를 받았습니다.	이거 계속 정지가 뜨는데 정말 짜증나요.	0
6276	2019년 2월 22일	별표 5개 만점에 3개를 받았습니다.	음량이 커졌다 작아졌다 그러는데 저만 그런건지..	1
7136	2019년 10월 27일	별표 5개 만점에 4개를 받았습니다.	모바일TV로 편하게 보고있어요	1
9569	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	좋아진거 같아요~	1
7669	2019년 2월 17일	별표 5개 만점에 5개를 받았습니다.	사용하기 편하고 무료영화도 많아요...silverminer@네이버닷컴	1
6628	2019년 6월 10일	별표 5개 만점에 1개를 받았습니다.	아니 다운 받은 영화 볼려고 들어갔는데 이용 할 수 없다고만 뜨잖아요 이상이 있으면 공지라고 해주든가	0
2263	2019년 1월 29일	별표 5개 만점에 1개를 받았습니다.	최근본 방송 목록을 삭제했는데도 삭제가 안되고 첫화면에 계속 뜨네요 삭제됐다고만 하고 그대론데요. 1달간 무조건 게시되는건가요?	0
2892	2019년 2월 13일	별표 5개 만점에 1개를 받았습니다.	지겹다 오류가 왜이렇게 심해진거야 원래안이랬는데... u+ 못쓰겠다 진짜 번호이동 kt랑lg중에 lg가 기기값 2만원더싸대서 했더니 후회막심하네	0
13596	2019년 4월 17일	별표 5개 만점에 5개를 받았습니다.	조아요	1
14106	2019년 2월 13일	별표 5개 만점에 5개를 받았습니다.	잼나네요	1
4451	2019년 2월 12일	별표 5개 만점에 4개를 받았습니다.	첨엔 바뀐거에 적응 못 했는데 .. 하다보니 편해졌습니다 ^^ 잘 만들어 주셔서 감사합니다 ~~~	1
13173	2019년 6월 14일	별표 5개 만점에 1개를 받았습니다.	ㅋㅋㅋㅋ그냥 답변이 복붙이네..lg 기술 왜이래.. 일주일도 더 된거 같은데	0
2446	2019년 6월 9일	별표 5개 만점에 1개를 받았습니다.	잘 사용하는데 어제부터 앱을 열면 멈춰있고 눌러도 해당페이지를 사용할수없다합니다 다시 제거후 업뎃 했는데 이번엔 핑크첫페이지에서 넘어가질 않네요	0
9827	2019년 12월 21일	별표 5개 만점에 3개를 받았습니다.	영화 드라마 그럭저럭 볼만함	1
12002	2020년 5월 1일	별표 5개 만점에 5개를 받았습니다.	조성준	1
10334	2019년 2월 24일	별표 5개 만점에 5개를 받았습니다.	보기 편해요	1
6425	2020년 11월 26일	별표 5개 만점에 5개를 받았습니다.	마음껏보고 꽁짜!ㅋㅋ	1
9903	2019년 2월 23일	별표 5개 만점에 5개를 받았습니다.	유플러스 좋네요	1
16212	2018년 10월 13일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
4745	2019년 2월 4일	별표 5개 만점에 1개를 받았습니다.	업뎃 이후 오히려 사용하기가 더 불편 해졌네요. 예전버전이 깔끔하고 더좋았어요.	0
2554	2019년 6월 8일	별표 5개 만점에 3개를 받았습니다.	어제부터 실시간 티비 등 모든 서비스 이용이 안됩니다ㅠ 너무 편하게 애용하고있었는데 왜 그러는지 알 수 있을까여?ㅠ	1
2462	2019년 6월 8일	별표 5개 만점에 1개를 받았습니다.	모바일 티비 보려고 집에 시간 맞춰왔는데 왜 앱이 안되나요? ㅜ ㅜ 오늘 안된다고 공지도 못본거 같은데 이게 무슨일인지 ㅜ ㅜ	0
8613	2019년 1월 29일	별표 5개 만점에 4개를 받았습니다.	아직 어색하지만 좋아요!	1
12174	2020년 9월 14일	별표 5개 만점에 3개를 받았습니다.	좋아요	1
15903	2018년 9월 5일	별표 5개 만점에 3개를 받았습니다.	개인적으로 나쁘진 않은 거 같은데 볼 수 있는 영화가 몇 개 없어서 좀 더 많은 영화를 무료로 내주셨으면 하는 바램도 있습니다.	1
4971	2019년 2월 12일	별표 5개 만점에 1개를 받았습니다.	왜 바꿨는지를 모르겠어요..... 총체적 난국? 일일히 다 말하기 힘들정도로 ...휴 차라리 유트브를 보고말지..하는 생각이듬	0
14100	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	앱에 들어갔을 때 아무것도 눌리지가 않네요,,, 해결방법 문의합니다,,,	0
4583	2019년 1월 29일	별표 5개 만점에 3개를 받았습니다.	사용하는 셋톱버전이 구글셋톱은 연동 안되요.정말 아슁뎌요	1
14166	2019년 2월 1일	별표 5개 만점에 5개를 받았습니다.	굳	1
14767	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	굿굿굿	1
13575	2019년 4월 9일	별표 5개 만점에 5개를 받았습니다.	굳	1
5156	2019년 2월 16일	별표 5개 만점에 1개를 받았습니다.	다른 ID 로그인 할때마다 로그인 안되는데 왜 안되죠 ?? ㅡㅡ	0
10796	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	참 좋아요	1
14708	2019년 3월 6일	별표 5개 만점에 5개를 받았습니다.	누구	1
4710	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	진짜엘지는 고객가지고 놈 업데이트 꼭 해야만 볼수있고 업데이트하고나면 무료가 유료로 바뀌고 이번엔 또 뭐가 바뀌나 별한개도 아깝다	0
15	2021년 1월 21일	별표 5개 만점에 5개를 받았습니다.	업데이트 해야한다해서 업데이드하고있는데 계속 업데이트 중이라고안 하고 완료가 안되서 TVㆍ영화를 볼수가 없어요. 요금제는 가입했는데 볼수가 없으니.... 어떻게 해야하나요? 1시간 넘게 기다려도 계속 업데이트 중.... 한번 리뷰를 쓰고나니 리뷰다시 쓸수가없네요 너무 감사합니다. 답변주신대로 잘 설치하여 다시 잘 보고 있어요.	1
6845	2019년 6월 10일	별표 5개 만점에 1개를 받았습니다.	쓰레기같은어플 될때보다 안될때가 더많네진짜	0
12474	2019년 12월 8일	별표 5개 만점에 5개를 받았습니다.	좋음	1
7055	2019년 6월 10일	별표 5개 만점에 5개를 받았습니다.	운영자님 해당 페이지 이용 못한다고 개속 떠요 업데 복구 해주세요 ㅠㅠ	1
12213	2019년 12월 20일	별표 5개 만점에 4개를 받았습니다.	good	1
11141	2019년 2월 23일	별표 5개 만점에 3개를 받았습니다.	쿠폰 많이 주세요	1
3017	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	계속 사용할수없다는데 어쩌란거임 ㅡㅡ 결제한걸 환불해주던가..업데이트도안되고 짜증나네요 정말	0
12178	2019년 12월 29일	별표 5개 만점에 5개를 받았습니다.	굿👍	1
6122	2019년 2월 25일	별표 5개 만점에 1개를 받았습니다.	엤날어플로 돌아가요좀 이상하게 업데이트해놔서 보는사람들 불편하게 합니까	0
14808	2019년 2월 2일	별표 5개 만점에 5개를 받았습니다.	좋아요~	1
7503	2019년 2월 19일	별표 5개 만점에 1개를 받았습니다.	미드보려고월정액가입했더니 볼만한건 어차피 유료네ㅡㅡ	0
2038	2020년 7월 21일	별표 5개 만점에 1개를 받았습니다.	영상 싱크좀 맞출수 있게 해주세요. 이유는 모르겠지만 맞는 영상이 하나도 없어요. 블루투스 사용중도 아닌데 거슬릴 정도로 지연이 심합니다. 와이파이 모바일데이터 둘다 동일 증상이고요	0
3302	2019년 2월 13일	별표 5개 만점에 1개를 받았습니다.	손가락으로 빨리넘어가는거 사라지게한거는 진짜 최악에 업데이트다 여러사람들이 정말 불편해 하는중인데 인지못하는건가...	0
6985	2020년 4월 8일	별표 5개 만점에 5개를 받았습니다.	다 좋은데 MBC가 없는 게 아쉽네요ㅠㅠ	1
3640	2019년 10월 18일	별표 5개 만점에 2개를 받았습니다.	보는도중이 매일 서비오류입니다.라는 문구가 나옵니다. 개선해주세요.	0
8606	2019년 2월 7일	별표 5개 만점에 1개를 받았습니다.	왜 있는지 모르겠음 안지워짐	0
15258	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	영화	1
14196	2019년 2월 2일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
12537	2019년 10월 29일	별표 5개 만점에 4개를 받았습니다.	통신사SK인데 어플을 눌르면 갑자기 튕김현상 일어납니다 앱정보 앱종료 이런 창만 뜹니다	1
3824	2019년 4월 14일	별표 5개 만점에 5개를 받았습니다.	너무너무좋앙용 진짜좋고제미섰요 사요하세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜제미있습니다.	1
2673	2019년 2월 22일	별표 5개 만점에 4개를 받았습니다.	다양한 채널이 많아지고 선택사항이 다양해졌지만 비디오포털에서 사용이 편해졌던거같아요 아직 손에 익숙하지않아 조금 불편한점이 있습니다.	1
5226	2019년 2월 17일	별표 5개 만점에 5개를 받았습니다.	끊김 현상없이 문안하게 잘 보고 있네요.	1
14853	2018년 10월 16일	별표 5개 만점에 4개를 받았습니다.	굿	1
2632	2019년 2월 16일	별표 5개 만점에 1개를 받았습니다.	편하게 찾을 수 있는 구성이 아니에요. 그리고 터치반응속도도 느려서 답답이...... 이전 어플이 좋았어요ㅠㅠ	0
13066	2019년 6월 18일	별표 5개 만점에 1개를 받았습니다.	업데이트하면서 1.5 배속하면 목소리도 잘 나왔는데 완전 지금은 엉망이네요 어떻게 된거죠	0
8671	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	실시간티비도 보기 좋아요	1
7394	2019년 5월 26일	별표 5개 만점에 1개를 받았습니다.	너무 느리고 버벅대내요 삭제합니다	0
13386	2019년 6월 27일	별표 5개 만점에 5개를 받았습니다.	좋아.....	1
11914	2020년 7월 8일	별표 5개 만점에 5개를 받았습니다.	최고	1
1970	2019년 3월 2일	별표 5개 만점에 1개를 받았습니다.	집에 결제해놓은 월정액은 모바일에 연동되어 볼수있을줄알았는데 모바일에서 또 결제를 해야한다니 어의가없네요ㅡㅡ 같은계정이고 같은 유플인데 티비,모바일 연동이 안되는게 이해가안되네요	0
14438	2019년 1월 31일	별표 5개 만점에 5개를 받았습니다.	좋은시간	1
9130	2018년 10월 15일	별표 5개 만점에 4개를 받았습니다.	좋아용 해외드라마 중드 많이 깔아주세요	1
14359	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	보기가 매우 수월해졌어요.	1
7749	2019년 7월 6일	별표 5개 만점에 1개를 받았습니다.	몇주전부터 왜자꾸 마음대로 꺼지는거죠?	0
11545	2020년 11월 25일	별표 5개 만점에 5개를 받았습니다.	LG노력하는 모습 보기좋다^^ LG의 성.기.발.기 합니다 그렇가고 너무 유로유로 하진 맙시다 ㅠㅠ무료 사랑	1
8293	2019년 5월 5일	별표 5개 만점에 1개를 받았습니다.	별한개도 아깝네요	0
5858	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	보기 쉽고 편리해요^^ milkiss84@네이버	1
5788	2019년 10월 12일	별표 5개 만점에 4개를 받았습니다.	무제한요금제로 잘 이용중입니다	1
6866	2019년 3월 10일	별표 5개 만점에 1개를 받았습니다.	저꾸 동영상 재생중 소리가 나오다 안낭옴	0
15475	2018년 9월 12일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
964	2019년 6월 12일	별표 5개 만점에 1개를 받았습니다.	매일 들어갈려고하면 접속이안됩니다. 제거하고업데이트를하면 접속이되길래괜찮을줄알았는데 하루가지나면 또실행이안되고 또반복해서 제거하고 업데이트를하고 4일동안 이러고있네요 대체 원인이뭔가요? 고객센터에도전화해보고 서비스센터에도전화해봤는데 나온해결책이 제거하고 업데이트를하는거라는데 매일할수는없는거잖아요!	0
257	2020년 11월 16일	별표 5개 만점에 2개를 받았습니다.	다운로드한 영상을 보려하면 자꾸 앱이 꺼집니다. 업데이트 후 이런 현상이 일어나는거 같은데요, 혹시 해결방법이 있을까요?	0
864	2019년 5월 1일	별표 5개 만점에 1개를 받았습니다.	소리가 너무 작아요ㅡㅡ 최대볼륨 15까지 올렸는데도 한6,7 볼륨돌 정도로 너무 너어무 작고 안들려요ㅡㅡ 핸드폰 가까이 댔는데도 안들리고 머라는지 1도 안들려요ㅡㅡ 핸폰 문제라고 하시는 분들.. 벨소리 알람소리 SNS소리 귀가 아플정도로 우렁차요.. 소리좀키워주세요	0
2952	2019년 7월 28일	별표 5개 만점에 3개를 받았습니다.	전에 비디오포털때는 영어공부할수있도로 다시듣기 사전기능등 있었는데 왜 지금 안되죠? 영어공부좀 하고싶은데요	1
138	2021년 1월 12일	별표 5개 만점에 2개를 받았습니다.	서비스 오류가 뜨네요.보는 것 조차 힘드네요.	0
14630	2019년 1월 14일	별표 5개 만점에 1개를 받았습니다.	자꾸중단됨	0
4937	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	영화채널을 자주이용하는데 업댓도 자주되고 가끔 주말만 무료로볼수있는 최신영화작들도 맘에들어요^^ 더 많이 올려주세용ㅎ	1
3354	2019년 8월 23일	별표 5개 만점에 3개를 받았습니다.	글중에서 하이큐 관련 있어서 확인해 봤는데 시즌선택 항목이 빠져있습니다. 확인해보세요.	1
13019	2019년 10월 27일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
8070	2019년 10월 13일	별표 5개 만점에 3개를 받았습니다.	무료 영화는 양만 많지 볼 건 없네요.	1
10665	2019년 1월 28일	별표 5개 만점에 4개를 받았습니다.	편리해요	1
8168	2019년 2월 13일	별표 5개 만점에 5개를 받았습니다.	보고싶었던 영화 드라마 이 앱 덕분에 잘봅니다. 감사합니다. srsulm5@지메일닷컴	1
10624	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	아주 좋아요	1
5109	2020년 4월 30일	별표 5개 만점에 3개를 받았습니다.	한국영화는 자막없어서 아쉬워요ㅜㅜ 청각장애인들 자막필수입니다ㅜㅜ	1
13484	2020년 2월 22일	별표 5개 만점에 3개를 받았습니다.	좋아요	1
11984	2020년 4월 29일	별표 5개 만점에 5개를 받았습니다.	앞으로도 좋은프로많이많이 올려주세요~~~♡	1
13559	2019년 4월 10일	별표 5개 만점에 5개를 받았습니다.	조으다	1
9021	2019년 2월 5일	별표 5개 만점에 1개를 받았습니다.	아주 개판이네 ㅡㅡ;	0
14447	2019년 1월 31일	별표 5개 만점에 5개를 받았습니다.	좋아 요	1
15380	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	굳	1
12056	2020년 5월 22일	별표 5개 만점에 4개를 받았습니다.	굿굿	1
4800	2020년 7월 8일	별표 5개 만점에 1개를 받았습니다.	갑자기 광고를 자꾸 표시하고 앱 나가기도 안되고..	0
6480	2019년 2월 22일	별표 5개 만점에 4개를 받았습니다.	👍덕분에 재밌는영화 무료로 많이 봤어요 최고에요	1
5110	2020년 10월 9일	별표 5개 만점에 1개를 받았습니다.	업데이트가 저만 안되는건가요... 계속 오류뜨네요	0
4087	2019년 2월 4일	별표 5개 만점에 1개를 받았습니다.	업데이트후에 자막싱크도안맞고 재생도 이상하고 왜이래요?!!?	0
11675	2020년 10월 7일	별표 5개 만점에 5개를 받았습니다.	조아요옹	1
14927	2019년 3월 17일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
9953	2020년 5월 6일	별표 5개 만점에 5개를 받았습니다.	생각보다 많은 드라마	1
2988	2019년 1월 28일	별표 5개 만점에 2개를 받았습니다.	아직 익숙하지 않아서 그런지 좀 어색하고요,바탕화면이 검은색이라서 메뉴찾기가 쉽지 않은 것 같습니다.	0
6707	2020년 4월 25일	별표 5개 만점에 1개를 받았습니다.	어느순간부터 앱 실행이 아예 안되요	0
14830	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	굿	1
13321	2019년 10월 25일	별표 5개 만점에 5개를 받았습니다.	굿	1
2932	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	업뎃하고나서 오류코드30번뜨는데 괜히 이상하게만들어서 뭐하는짓거리인지 어제부터코드뜨던데 어쩌자고 저딴업데이트를한겁니까 감당할수없으면 건들지를말던가요	0
8733	2018년 10월 17일	별표 5개 만점에 5개를 받았습니다.	야 국회가 이거 반만해도 나라 꼴은 다 돌아갈듯	1
6901	2020년 7월 7일	별표 5개 만점에 3개를 받았습니다.	그냥사용할만하지만 기능이 많지는 않은것같습니다	1
4630	2019년 7월 14일	별표 5개 만점에 1개를 받았습니다.	거의 다 유료여서 뭘 보라는 건지 1도 모르겠고 돈은 돈대로 나가고 많이 안 좋네요	0
702	2020년 12월 12일	별표 5개 만점에 1개를 받았습니다.	직접 써보면 무슨 오류가 뜨는지 알수있을거에요. 한두번,하루이틀 오류뜨는것두 아니니까용~	0
5888	2019년 5월 23일	별표 5개 만점에 3개를 받았습니다.	왜 실행이 안되쥬?? 지웠다 깔아도 안되유	1
11266	2019년 5월 4일	별표 5개 만점에 5개를 받았습니다.	좋아요 ㅋ	1
4025	2019년 6월 10일	별표 5개 만점에 1개를 받았습니다.	이거왜이래요?? 왜 홈화면에서 아무것도안바껴요??? 지금며칠째이러는데요. 왜돈받고어플이딴식으로만들어요?	0
11466	2021년 2월 11일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
10247	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	진짜 불편ᆢ 짜증ᆢ!	0
15654	2018년 10월 15일	별표 5개 만점에 4개를 받았습니다.	굿	1
2081	2019년 3월 2일	별표 5개 만점에 3개를 받았습니다.	폰에서는 잘 되는데 태블릿에서는 왜 로그인이 안 되는지 모르겠네요... ㅠ 페이지가 삭제되었거나 이동되었다는 오류메시지가 떠요 ㅠㅠ	1
3881	2019년 9월 27일	별표 5개 만점에 1개를 받았습니다.	TV다시보기할때 잠시후다시시도하란건왜 뜨나요? 지금 한시간째 그 문구만뜨네요	0
15370	2018년 9월 4일	별표 5개 만점에 5개를 받았습니다.	괜찮은 앱. .	1
7638	2019년 2월 24일	별표 5개 만점에 5개를 받았습니다.	정성을 많이 들인 느낌이 팍팍드네요. 좋습니다^^*	1
9867	2020년 7월 1일	별표 5개 만점에 1개를 받았습니다.	실행이 안됨	0
8145	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	보다 다양하고 많은 영화를 볼수있게 해 주세요^^♥	1
6238	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	오류만 계속 뜨고 와 열받아서 ㅡㅡ 첨 리뷰남김	0
4987	2020년 4월 29일	별표 5개 만점에 5개를 받았습니다.	실시간방송도 볼수있어좋아요. 무료영화도 볼수있어 좋아요.	1
2567	2020년 4월 15일	별표 5개 만점에 4개를 받았습니다.	제가 폴더폰 사용자라 그런지 실시간 tv기능 들어갔을때 채널을 눌러도 검은화면만 뜨고 안나오네요. 방법이 없겠죠?ㅠㅠ	1
2354	2019년 1월 28일	별표 5개 만점에 3개를 받았습니다.	1.27일부터 실시간. 다시보기등 몇 분 재생후 2초씩 뒤로 밀리는 현상이 일어나네요 잘 보고있는데 집중력이 떨어져고 고쳐주세요	1
11956	2020년 6월 6일	별표 5개 만점에 5개를 받았습니다.	좋습니다	1
7351	2019년 2월 4일	별표 5개 만점에 1개를 받았습니다.	너무 불편해요 기존으로 돌려주세요	0
15434	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
492	2021년 2월 28일	별표 5개 만점에 1개를 받았습니다.	별 1점 주기도 아깝네요 유플러스 때문에 위약금만 줄창나가고 다시는 유플러스 안 씁니다 퉤 !	0
14892	2019년 2월 5일	별표 5개 만점에 3개를 받았습니다.	좋아요	1
14128	2019년 4월 30일	별표 5개 만점에 5개를 받았습니다.	좋아용	1
11932	2020년 5월 5일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
1987	2019년 2월 23일	별표 5개 만점에 1개를 받았습니다.	솔직히 전 버전이 훨씬 사용하기 좋았습니다. 그리고 카카오페이지랑 비슷하게 변경 된 느낌도 없지 않아 있습니다. 그래도 다시 돌아 갈 수 없다면 아쉬운대로 사용할께요	0
13189	2019년 6월 6일	별표 5개 만점에 1개를 받았습니다.	버벅대는게 많으	0
2083	2019년 10월 11일	별표 5개 만점에 3개를 받았습니다.	예전에 옥수수 사용한적있는데 그건 동영상 멈춤pause 기능도있고 동영상 내려서 작게화면만들어놓고 보면서 네이버 검색도 동시에 하고 그랬는데 화면 크기 조정도되구요 여긴 그런게 안되서 불편한점이 많네요 요거 개선좀 해주심좋겠어요	1
13812	2019년 2월 26일	별표 5개 만점에 4개를 받았습니다.	😄😄	1
11576	2021년 1월 19일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
5894	2019년 3월 6일	별표 5개 만점에 2개를 받았습니다.	구 비디오 포털메뉴에는 영화 3만편 있었는데 여긴어디있는지몰라서 불편하네요ㅜ괜히 업뎃 해서ㅠ	0
879	2019년 4월 3일	별표 5개 만점에 3개를 받았습니다.	쿠폰내역에 사용할수있는 쿠폰이 있는데 왜 사용이 안되나요ㅡㅡ..이용하기 누르면 영화목록만 보여지고 영화 결제페이지 할인선택에 멤버쉽 할인빼고는 어디에도 쿠폰사용란이 안보입니다. u+ 모바일tv 1만원상품권 오늘까지라 사용하려는데 잘 확인하고 쿠폰배포해야지요~~ 다른 리뷰보니 저랑 동일한 사람 여럿있는거 같은데 확인 부탁드려요	1
7260	2019년 1월 29일	별표 5개 만점에 2개를 받았습니다.	한눈에 들어오지않아 불편해요	0
14883	2018년 10월 17일	별표 5개 만점에 5개를 받았습니다.	좋음	1
13243	2019년 6월 14일	별표 5개 만점에 1개를 받았습니다.	오류	0
14561	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
1322	2019년 2월 10일	별표 5개 만점에 1개를 받았습니다.	지금 며칠째 오류30 이라는 문구만 뜨고 실행이 전혀 안되고있어요. 비디오포털 좋아해서 요금제도 비디오요금제 같이 추가해서 쓰고있는데 빨리 개선해주세요ㅜㅜ저만 이러는게 아닌것 같은데 왜 아직도 안 고쳐지고 있나요	0
13082	2019년 6월 18일	별표 5개 만점에 1개를 받았습니다.	별로~	0
1120	2019년 1월 23일	별표 5개 만점에 4개를 받았습니다.	잘쓰고있습니다. 근데 제가 폰을 갤럭시s7에서 갤럭시a9으로 바꾼후로 음량을 키우면 잡음이 들리고 소리가 깨집니다. 다른 앱을 사용할때는 안이런데 비디오포털에서만 이러네요. 해결방법없나요?	1
6419	2019년 4월 10일	별표 5개 만점에 1개를 받았습니다.	업데이트 하라해서 하는데 다운로드대기중에서 계속멈춰있어요	0
6445	2019년 1월 28일	별표 5개 만점에 5개를 받았습니다.	항상 자주 이용하고.있는데 업데이트 소식 방갑네요	1
5654	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	왜 실행이 안되죠 돈 발랐는데...	0
10741	2019년 1월 30일	별표 5개 만점에 1개를 받았습니다.	전에것도 안됨	0
